org,district,name,short_name,cfa_grp_name
CFA,06,Apollo Bay,APOL,Corangamite
CFA,06,Barongarook West,BARO,Corangamite
CFA,06,Barwon Downs,BARD,Beeac
CFA,06,Beeac,BEEA,Beeac
CFA,06,Berrybank,BBNK,Lismore
CFA,06,Birregurra,BIRR,Beeac
CFA,06,Bookaar,BOOK,Camperdown
CFA,06,Boorcan,BOOR,Camperdown
CFA,06,Bostocks Creek,BOST,Cobden
CFA,06,Brucknell-Ayrford,BRUK,Timboon
CFA,06,Bungador,BUNG,Corangamite
CFA,06,Camperdown,CDWN,Camperdown
CFA,06,Carpendeit-Sth Purrumbete,CARP,Cobden
CFA,06,Chocolyn,CHOC,Camperdown
CFA,06,Cobden,COBD,Cobden
CFA,06,Cobrico,COCO,Cobden
CFA,06,Colac,COLA,Beeac
CFA,06,Cororooke,CRKE,Corangamite
CFA,06,Cressy,CRES,Lismore
CFA,06,Darlington,DARL,Lismore
CFA,06,Dixie,DIXI,Camperdown
CFA,06,Derrinallum,DERR,Lismore
CFA,06,Dreeite South,DREE,Corangamite
CFA,06,Duverney,DUVE,Lismore
CFA,06,Ecklin & District,ECKL,Cobden
CFA,06,Forrest,FORE,Beeac
CFA,06,Gellibrand,GELL,Corangamite
CFA,06,Gerangamete,GERE,Beeac
CFA,06,Irrewarra,IRRE,Beeac
CFA,06,Jancourt,JANC,Cobden
CFA,06,Kawarren,KAWA,Corangamite
CFA,06,Kennedy's Creek,KENN,Timboon
CFA,06,Larpent,LARP,Corangamite
CFA,06,Leslie Manor,LESM,Lismore
CFA,06,Lismore,LSMR,Lismore
CFA,06,Lower Heytesbury,LHEY,Timboon
CFA,06,Mingay & District,MDST,Lismore
CFA,06,Nalangil,NALA,Corangamite
CFA,06,Noorat & District,NOOR,Camperdown
CFA,06,Otway,OTWY,Corangamite
CFA,06,Pomborneit & Dist,POMB,Camperdown
CFA,06,Port Campbell,PRTC,Timboon
CFA,06,Princetown,PRIN,Timboon
CFA,06,Scotts Ck-Cowleys Ck.,SCOT,Timboon
CFA,06,Simpson,SIMP,Timboon
CFA,06,Stonyford,SFRD,Camperdown
CFA,06,Swan Marsh,SMSH,Corangamite
CFA,06,Terang,TERA,Camperdown
CFA,06,Tesbury,TESY,Camperdown
CFA,06,Timboon,TIMB,Timboon
CFA,06,Vite Vite North,VIVI,Lismore
CFA,06,Warrion,WARI,Corangamite
CFA,06,Weering-Eurack,WEER,Beeac
CFA,06,Weerite,WRTE,Camperdown
CFA,06,Wye River,WYER,Corangamite
CFA,06,Yeo & District,YEOA,Beeac
CFA,06,Yeodene,YEOD,Beeac
CFA,06,Irrewillipe,IRWI,Corangamite
CFA,06,Carlisle River,CRIV,Corangamite
CFA,07,Aireys Inlet,AIRE,Coastal
CFA,07,Anakie,ANAK,Anakie
CFA,07,Anglesea,ANGL,Coastal
CFA,07,Bellbrae,BBRE,Coastal
CFA,07,Bannockburn,BBRN,Anakie
CFA,07,Barrabool,BARR,Anakie
CFA,07,Barunah Plains North,BARU,Leigh
CFA,07,Barwon Heads,BARW,Bellarine
CFA,07,Connewarre,CONN,Coastal
CFA,07,Dereel,DERE,Leigh
CFA,07,Deans Marsh,DEAN,Winchelsea
CFA,07,Drysdale,DRYS,Bellarine
CFA,07,Freshwater Creek,FRES,Coastal
CFA,07,Gnarwarre,GNAR,Winchelsea
CFA,07,Grovedale,GROV,Geelong
CFA,07,Inverleigh,INVE,Winchelsea
CFA,07,Lara,LARA,Geelong
CFA,07,Leopold,LEOP,Bellarine
CFA,07,Lethbridge,LETH,Anakie
CFA,07,Lorne,LRNE,Coastal
CFA,07,Lovely Banks,LOVE,Anakie
CFA,07,Mannerim,MANN,Bellarine
CFA,07,Meredith,MERE,Anakie
CFA,07,Modewarre,MODE,Winchelsea
CFA,07,Mount Mercer,MTME,Leigh
CFA,07,Ocean Grove,OCEA,Bellarine
CFA,07,Portarlington,PORT,Bellarine
CFA,07,Queenscliff,QUEE,Bellarine
CFA,07,Rokewood,ROKE,Leigh
CFA,07,St Leonards-Indented Head,STLE,Bellarine
CFA,07,Shelford,SHEL,Leigh
CFA,07,Stonehaven,STON,Anakie
CFA,07,Teesdale,TEES,Leigh
CFA,07,Torquay,TRQY,Coastal
CFA,07,Wallington,WALN,Bellarine
CFA,07,Werneth,WERN,Leigh
CFA,07,Winchelsea,WSEA,Winchelsea
CFA,07,Wingeel,WING,Winchelsea
CFA,07,Wurdale,WURD,Winchelsea
CFA,07,Maude,MAUD,Anakie
CFA,07,Geelong City,GONG,Geelong
CFA,07,Geelong West,GEWE,Geelong
CFA,07,Little River,LITT,Anakie
CFA,07,Highton,HIGH,Geelong
CFA,07,Belmont,BELM,Geelong
CFA,07,Corio,CORO,Geelong
CFA,08,Balnarring,BALN,Westernport
CFA,08,Bass,BASS,Bass Coast
CFA,08,Baxter,BAXT,Westernport
CFA,08,Bayles,BAYL,Cardinia
CFA,08,Beaconsfield,BEAC,Cardinia
CFA,08,Beaconsfield Upper,BEUP,Cardinia
CFA,08,Berwick,BERW,Casey
CFA,08,Bittern,BITT,Westernport
CFA,08,Boneo,BONE,Peninsula
CFA,08,Bunyip,BUNY,Cardinia
CFA,08,Clyde,CLYD,Casey
CFA,08,Cockatoo,COAT,Cardinia
CFA,08,Cranbourne,CRAN,Casey
CFA,08,Crib Point,CRIB,Westernport
CFA,08,Devon Meadows,DEVO,Casey
CFA,08,Dromana,DROM,Peninsula
CFA,08,Flinders,FLIN,Peninsula
CFA,08,French Island,FRIS,Bass Coast
CFA,08,Gembrook,GEMB,Cardinia
CFA,08,Glen Alvie,GLEN,Bass Coast
CFA,08,Hallam,HALL,Casey
CFA,08,Hastings,HSTG,Westernport
CFA,08,Heath Hill - Yannathan,HEAT,Cardinia
CFA,08,Keysborough,KEYS,South East
CFA,08,Kilcunda,KILC,Bass Coast
CFA,08,Koo Wee Rup,KOOW,Cardinia
CFA,08,Lang Lang,LANG,Cardinia
CFA,08,Main Ridge,MAIN,Peninsula
CFA,08,Moorooduc,MORO,Westernport
CFA,08,Mornington,MORN,Westernport
CFA,08,Mt Martha,MTMA,Peninsula
CFA,08,Nar Nar Goon,NARN,Cardinia
CFA,08,Narre Warren North,NNTH,Casey
CFA,08,San Remo,SEMO,Bass Coast
CFA,08,Officer,OFFI,Cardinia
CFA,08,Pakenham,PKHM,Cardinia
CFA,08,Pakenham Upper,PAKU,Cardinia
CFA,08,Patterson River,PATR,South East
CFA,08,Pearcedale,PEAR,Casey
CFA,08,Phillip Island,PISL,Bass Coast
CFA,08,Dalyston,DALY,Bass Coast
CFA,08,Red Hill,REDH,Westernport
CFA,08,Rosebud,ROSE,Peninsula
CFA,08,Shoreham,SHOR,Westernport
CFA,08,Skye,SKYE,South East
CFA,08,Somers,SOME,Westernport
CFA,08,Somerville,SOVL,Westernport
CFA,08,Sorrento,SNTO,Peninsula
CFA,08,Toomuc,TOOM,Cardinia
CFA,08,Tooradin,TOOR,Casey
CFA,08,Tyabb,TYAB,Westernport
CFA,08,Tynong,TYNO,Cardinia
CFA,08,Wonthaggi,WOGI,Bass Coast
CFA,08,Corinella,CORN,Bass Coast
CFA,08,Kernot-Grantville,KERN,Bass Coast
CFA,08,Warneet - Blind Bight,WARN,Casey
CFA,08,Maryknoll & District,MARY,Cardinia
CFA,08,Rye,RYEA,Peninsula
CFA,08,Carrum Downs,CADW,South East
CFA,08,Dandenong,DAND,South East
CFA,08,Edithvale,EDIT,South East
CFA,08,Frankston,FTON,South East
CFA,08,Hampton Park,HAMP,Casey
CFA,08,Mt Eliza,MTEL,South East
CFA,08,Noble Park,NOBL,South East
CFA,08,Springvale,SVAL,South East
CFA,08,Narre Warren,NARR,Casey
CFA,08,Langwarrin,LANW,Westernport
CFA,09,Allambee,ALLA,Strzelecki
CFA,09,Berry's Creek,BCRK,Strzelecki
CFA,09,Darnum & Ellinbank,DARN,Baw Baw
CFA,09,Drouin,DROU,Baw Baw
CFA,09,Drouin West,DWST,Baw Baw
CFA,09,Erica & District,ERIC,Baw Baw
CFA,09,Ruby,RUBY,Strzelecki
CFA,09,Fish Creek & District,FISH,South Gippsland
CFA,09,Foster,FOST,South Gippsland
CFA,09,Hallora & District,HALO,Baw Baw
CFA,09,Hallston-Mt Eccles,HMTE,Strzelecki
CFA,09,Hedley,HEDL,South Gippsland
CFA,09,Inverloch,INVL,South Gippsland
CFA,09,Kongwak & District,KONG,Strzelecki
CFA,09,Koonwarra,KWAR,Strzelecki
CFA,09,Korumburra,KORU,Strzelecki
CFA,09,Leongatha,LEON,Strzelecki
CFA,09,Leongatha South,LSTH,Strzelecki
CFA,09,Loch,LOCH,Strzelecki
CFA,09,Longwarry & District,LONG,Baw Baw
CFA,09,Dumbalk,DUMB,South Gippsland
CFA,09,Meeniyan & Stony Creek,MEEN,South Gippsland
CFA,09,Milford,MILF,South Gippsland
CFA,09,Mirboo North,MNTH,Strzelecki
CFA,09,Nerrena,NERR,Strzelecki
CFA,09,Noojee,NOOJ,Baw Baw
CFA,09,Nilma North,NITH,Baw Baw
CFA,09,Poowong,POOW,Strzelecki
CFA,09,Pound Creek,PCRK,South Gippsland
CFA,09,Neerim South,NSTH,Baw Baw
CFA,09,Tarwin Lower District,TARW,South Gippsland
CFA,09,Thorpdale,THDL,Strzelecki
CFA,09,Toora,TORA,South Gippsland
CFA,09,Trafalgar,TRAF,Baw Baw
CFA,09,Trida,TRID,Baw Baw
CFA,09,Welshpool,WELS,South Gippsland
CFA,09,Westbury,WBRY,Baw Baw
CFA,09,Willowgrove,WGRO,Baw Baw
CFA,09,Yarragon,YGON,Baw Baw
CFA,09,Yanakie,YKIE,South Gippsland
CFA,09,Warragul,WARA,Baw Baw
CFA,10,Alberton West,ALBE,Tarra
CFA,10,Boisdale,BOIS,Riverslea
CFA,10,Briagolong,BRIA,Avon
CFA,10,Carrajung,CJNG,Tarra
CFA,10,Clydebank,CBNK,Avon
CFA,10,Cowwarr,COWW,Riverslea
CFA,10,Dargo,DARG,Avon
CFA,10,Seaton,SEAT,Riverslea
CFA,10,Devon North,DENT,Tarra
CFA,10,Giffard West,GIFF,Stradbroke
CFA,10,Glengarry East,GGET,Riverslea
CFA,10,Golden Beach,GBCH,Stradbroke
CFA,10,Heyfield,HEYF,Riverslea
CFA,10,Licola,LICO,Riverslea
CFA,10,Loch Sport,LSPT,Stradbroke
CFA,10,Longford,LFRD,Stradbroke
CFA,10,Maffra,MAFF,Riverslea
CFA,10,Meerlieu,MEER,Avon
CFA,10,Munro,MNRO,Avon
CFA,10,Nambrok,NAMB,Riverslea
CFA,10,Newry,NEWR,Riverslea
CFA,10,Perry Bridge,PBRG,Avon
CFA,10,Port Albert,PRTA,Tarra
CFA,10,Rosedale,ROSR,Riverslea
CFA,10,Sale,SALE,Riverslea
CFA,10,Seaspray,SEAS,Stradbroke
CFA,10,Glenmaggie,GMAG,Riverslea
CFA,10,Stradbroke,STRD,Stradbroke
CFA,10,Stratford,STRT,Avon
CFA,10,Tinamba,TINA,Riverslea
