distrct_no,brig_no,brig_name,short_name,grp_name
02,2620,Mount Macedon,MTMC,Mount Macedon
02,2625,Mt Cameron,MCRM,Goldfields
02,2631,Raywood,RAYW,Whipstick
02,2658,Redesdale,REDE,Eppalock
02,2666,Sedgwick,SEDG,Eppalock
02,2676,Springfield,SFLD,Romsey
02,2682,Sutton Grange & Myrtle Ck,SUTT,Mt Alexander
02,2688,Talbot,TALB,Goldfields
02,2690,Taradale,TARA,Mt Alexander
02,2712,Woodvale,WVAL,Whipstick
02,2720,Castlemaine,CMAI,Mt Alexander
02,2722,Woodend,WOOD,Mount Macedon
02,2739,Walmer,WALM,Strathloddon
02,2745,Wareek & Bung Bong,WBBG,Goldfields
02,2747,Natte Yallock,NYLK,Goldfields
02,2763,Maiden Gully,MAID,Fortuna
02,2771,Strathfieldsaye,SAYE,Fortuna
02,2795,Newham,NEWH,Mount Macedon
04,4006,Bahgallah,BAHG,Casterton
04,4049,Cape Bridgewater,CBRI,Heywood
04,4057,Carapook,CPOK,Casterton
04,4065,Cashmore,CASH,Heywood
04,4073,Casterton,CAST,Casterton
04,4138,Condah,COND,Heywood
04,4146,Corndale,CDAL,Casterton
04,4162,Dartmoor,DART,Dartmoor
04,4189,Digby,DIGB,Merino
04,4197,Drik Drik,DRIK,Dartmoor
04,4200,Drumborg,DBRG,Heywood
04,4219,Dunrobin & Nangeela,DUNN,Casterton
04,4227,Glenorchy Estate,GEST,Merino
04,4235,Gorae West,GWST,Heywood
04,4243,Grassdale,GDAL,Merino
04,4278,Heathmere,HMER,Heywood
04,4286,Henty,HENT,Casterton
04,4295,Heywood,HEYW,Heywood
04,4316,Homerton,HOME,Heywood
04,4324,Hotspur,HOTS,Heywood
04,4332,Killara,KILL,Strathdownie
04,4359,Lake Mundi,LMUN,Strathdownie
04,4367,Lindsay,LSAY,Strathdownie
04,4375,Lyons,LYON,Heywood
04,4391,Merino,MINO,Merino
04,4405,Milltown,MTWN,Heywood
04,4413,Morven,MORV,Merino
04,4421,Mumbannar,MUMB,Dartmoor
04,4456,Myamyn,MYAM,Heywood
04,4472,Narrawong,NWNG,Heywood
04,4480,Nelson,NELS,Dartmoor
04,4499,Paschendale,PDAL,Merino
04,4529,Portland,PLND,Heywood
04,4537,Sandford,SAND,Casterton
04,4545,Strathdownie,SDWN,Strathdownie
04,4554,Tahara,TAHA,Merino
04,4618,Tyrendarra,TYRE,Heywood
04,4634,Wallacedale,WDAL,Merino
04,4642,Wando Bridge,WADO,Casterton
04,4669,Wando Vale,WANV,Casterton
05,5002,Abbey Hills,ABBE,Hawkesdale
05,5010,Allansford,AFRD,Hopkins - Curdies
05,5029,Ardachy,ARDA,Dundas
05,5037,Ardonachie,ARDO,Macarthur
05,5040,Balmoral,BRAL,Balmoral
05,5045,Bessiebelle,BESS,Macarthur
05,5053,Bochara,BOCH,Dundas
05,5058,Branxholme,BLME,Dundas
05,5061,Broadwater,BWTR,Macarthur
05,5088,Buckley Swamp,BUCK,Mount  Rouse
05,5096,Bulart,BLRT,Dundas
05,5111,Coleraine,COLE,Balmoral
05,5118,Burn Brae,BRNB,Mount  Rouse
05,5126,Byaduk,BYAD,Macarthur
05,5134,Caramut,CMUT,Hawkesdale
05,5142,Cavendish,CAVE,Dundas
05,5169,Croxton East,CROX,Mount  Rouse
05,5177,Cudgee,CUDG,Hopkins - Curdies
05,5179,Culla,CULL,Nareen
05,5207,Dunkeld,DUNK,Serra
05,5215,Ellerslie,ELLE,Mortlake
05,5223,Codrington,CODR,Belfast
05,5231,Framlingham,FRAM,Merri
05,5258,Garvoc,GARC,Hopkins - Curdies
05,5266,Gazette,GAZE,Mount  Rouse
05,5274,Glenthompson,GTOM,Serra
05,5282,Grange,GRAN,Dundas
05,5290,Grassmere,GRRE,Merri
05,5292,Gringe,GRIN,Balmoral
05,5294,Gritjurk,GRIT,Balmoral
05,5304,Bainbridge,BAIN,Dundas
05,5312,Hamilton,HAMI,Dundas
