map_no,mga_zone,x_min,x_max,y_min,y_max
274,55,352643,356646,5826343,5831301
275,55,356542,360545,5826426,5831384
276,55,360441,364444,5826509,5831467
277,55,364340,368342,5826592,5831550
278,55,368239,372241,5826675,5831633
279,55,348848,352851,5821384,5826343
314,55,368966,372968,5792550,5797508
315,55,365172,369174,5787592,5792550
316,55,369070,373073,5787675,5792633
731,55,334649,347029,5728839,5744468
732,55,346696,359074,5729101,5744728
733,55,351237,352722,5740197,5741749
733,55,337018,339031,5734895,5736971
734,55,344827,349743,5741036,5743180
734,55,358430,359936,5733417,5735470
734,55,345353,346835,5738864,5739911
733,55,339983,344871,5739911,5743075
733,55,347430,352390,5735445,5738562
734,55,353679,358492,5732488,5736661
499,55,293653,296611,5761121,5762709
